id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1502824497048657923,1502824497048657923,2022-03-12 20:50:55 Eastern Standard Time,2022-03-12,20:50:55,-0400,14065217,sandy_carter,Sandy.nft,,And we love that @decentraland gave us at @UnstoppableWoW3 to build our HQ!!! So grateful!!!,en,"[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}, {'screen_name': 'unstoppablewow3', 'name': 'unstoppable women of web3', 'id': '1485401129324142594'}]",[],[],0,4,15,[],[],https://twitter.com/sandy_carter/status/1502824497048657923,False,https://twitter.com/mixedground_xyz/status/1502806030043922433,0,,,,,,,,[],,,,
1502817438492209157,1502775332159606786,2022-03-12 20:22:52 Eastern Standard Time,2022-03-12,20:22:52,-0400,1403078477541171201,everrise,EverRise,,@Z_Humphries @Shibtoken @ethereum @Bitcoin @cryptocom @GoGalaGames @solana @Cardano @decentraland @0xPolygon @TheSandboxGame @hedera We’ll be on this list one day 🤫,en,[],[],[],6,17,52,[],[],https://twitter.com/EverRise/status/1502817438492209157,False,,0,,,,,,,,"[{'screen_name': 'Z_Humphries', 'name': 'Zach Humphries', 'id': '51231402'}, {'screen_name': 'Shibtoken', 'name': 'Shib', 'id': '1356248804899565569'}, {'screen_name': 'ethereum', 'name': 'Ethereum', 'id': '2312333412'}, {'screen_name': 'Bitcoin', 'name': 'Bitcoin', 'id': '357312062'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}, {'screen_name': 'GoGalaGames', 'name': 'Gala Games', 'id': '1288572182444961793'}, {'screen_name': 'solana', 'name': 'Solana', 'id': '951329744804392960'}, {'screen_name': 'Cardano', 'name': 'Cardano Community', 'id': '825920479055671296'}, {'screen_name': 'decentraland', 'name': 'Decentraland', 'id': '3291830170'}, {'screen_name': '0xPolygon', 'name': 'Polygon | $MATIC 💜', 'id': '914738730740715521'}, {'screen_name': 'TheSandboxGame', 'name': 'The Sandbox', 'id': '347831597'}, {'screen_name': 'hedera', 'name': 'Hedera', 'id': '898917341051965441'}]",,,,
1502794431157653504,1502566323901153288,2022-03-12 18:51:27 Eastern Standard Time,2022-03-12,18:51:27,-0400,1030374115541168128,cryptokaijuio,CryptoKaiju 🦖,,"@conlan Just sent you the lovely @decentraland wearable version, thanks again for believing in us and allowing us on the platform, loved it !!!",en,"[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}]",[],[],0,0,3,[],[],https://twitter.com/CryptoKaijuIO/status/1502794431157653504,False,,0,,,,,,,,"[{'screen_name': 'conlan', 'name': 'Conlan Rios (conlan.eth) 🕊 🇺🇦', 'id': '5665122'}]",,,,
1502786263434162179,1502786263434162179,2022-03-12 18:19:00 Eastern Standard Time,2022-03-12,18:19:00,-0400,226019699,marketingdive,Marketing Dive,,"Fans can explore the Integra's features in @Acura of Decentraland, play a racing game and browse a new wearable collection designed by an NFT artist.  https://t.co/bKlBnmlOeZ",en,"[{'screen_name': 'acura', 'name': 'acura', 'id': '24277513'}]",['http://bit.ly/3tQWv33'],[],0,0,0,[],[],https://twitter.com/marketingdive/status/1502786263434162179,False,,0,,,,,,,,[],,,,
1502775332159606786,1502775332159606786,2022-03-12 17:35:34 Eastern Standard Time,2022-03-12,17:35:34,-0400,51231402,z_humphries,Zach Humphries,,Favorite Top 💯 cryptos right now.  @Shibtoken  @ethereum  @Bitcoin  @cryptocom  @GoGalaGames  @solana  @Cardano  @decentraland  @0xPolygon  @TheSandboxGame  @hedera,en,"[{'screen_name': 'shibtoken', 'name': 'shib', 'id': '1356248804899565569'}, {'screen_name': 'ethereum', 'name': 'ethereum', 'id': '2312333412'}, {'screen_name': 'bitcoin', 'name': 'bitcoin', 'id': '357312062'}, {'screen_name': 'cryptocom', 'name': 'crypto.com', 'id': '864347902029709314'}, {'screen_name': 'gogalagames', 'name': 'gala games', 'id': '1288572182444961793'}, {'screen_name': 'solana', 'name': 'solana', 'id': '951329744804392960'}, {'screen_name': 'cardano', 'name': 'cardano community', 'id': '825920479055671296'}, {'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}, {'screen_name': '0xpolygon', 'name': 'polygon | $matic 💜', 'id': '914738730740715521'}, {'screen_name': 'thesandboxgame', 'name': 'the sandbox', 'id': '347831597'}, {'screen_name': 'hedera', 'name': 'hedera', 'id': '898917341051965441'}]",[],[],30,6,63,[],[],https://twitter.com/Z_Humphries/status/1502775332159606786,False,,0,,,,,,,,[],,,,
1502751121261084680,1502751119377903619,2022-03-12 15:59:21 Eastern Standard Time,2022-03-12,15:59:21,-0400,1065249714214457345,twitterspaces,Spaces,,then join @kreatrco on a journey into the Metaverse’s Decentraland for an uplifting experience of mindfulness through meditation with @DeepakChopra at 4pm CT / 5pm ET  https://t.co/LXRGI213XO,en,"[{'screen_name': 'kreatrco', 'name': 'kreatr', 'id': '1123268231152594944'}, {'screen_name': 'deepakchopra', 'name': 'deepak chopra', 'id': '15588657'}]",['https://twitter.com/i/spaces/1YqKDqXzXLNGV?s=20'],[],24,95,1025,[],[],https://twitter.com/TwitterSpaces/status/1502751121261084680,False,,0,,,,,,,,[],,,,
1502721086974316555,1502721086974316555,2022-03-12 14:00:00 Eastern Standard Time,2022-03-12,14:00:00,-0400,2800345565,grayscale,Grayscale,,"As one of the 1st #web3/ #metaverse economies to launch, Decentraland remains a leader in this space. Inhabitants transact in 2 digital assets: MANA and LAND. Total secondary market sales in these assets have reached ~$100 million to date. Find out more:  https://t.co/Z2aQsndXg6",en,[],['https://gryscl.co/3vYQhAL'],[],13,15,75,"['web3', 'metaverse']",[],https://twitter.com/Grayscale/status/1502721086974316555,False,,0,,,,,,,,[],,,,
1502571364502306817,1502571364502306817,2022-03-12 04:05:04 Eastern Standard Time,2022-03-12,04:05:04,-0400,59397347,courrierjapon,クーリエ・ジャポン,,私たちは我が家と呼べる場所が欲しくないのだろうか？　今や、ますます多くの人が、この大地の上にごく小さな家ですら購入する余裕をなくしている。それなら、Decentralandに宮殿を購入すればいいではないか。  https://t.co/pcJu6UJuUs,ja,[],['http://courrier.jp/columns/281395/'],[],0,0,5,[],[],https://twitter.com/CourrierJapon/status/1502571364502306817,False,,0,,,,,,,,[],,,,
1502535535818072066,1502535535818072066,2022-03-12 01:42:42 Eastern Standard Time,2022-03-12,01:42:42,-0400,419677047,alwakeelnews,الوكيل الإخباري,,سامسونج تبث فعالية Unpacked 2022 مباشرة في منصة Decentraland، ليكون الأول من نوعه في عالم ميتافيرس  https://t.co/CqnkccWWfE #الوكيل_الإخباري #الأردن,ar,[],['https://s.alwakeelnews.com/561703'],[],0,0,1,"['الوكيل_الإخباري', 'الأردن']",[],https://twitter.com/alwakeelnews/status/1502535535818072066,False,,0,,,,,,,,[],,,,
1502521312710852611,1502521312710852611,2022-03-12 00:46:11 Eastern Standard Time,2022-03-12,00:46:11,-0400,497665754,501awani,🇲🇾Astro AWANI🇲🇾,,"[GAYA HIDUP] Decentraland menawarkan pengalaman dunia maya, atau apa yang dikatakan ramai sebagai alam meta. #AWANInews #AWANI745   https://t.co/BEYgQFyAqU",in,[],['https://www.astroawani.com/gaya-hidup/menara-moshed-trending-di-decentraland-351342'],[],0,10,19,"['awaninews', 'awani745']",[],https://twitter.com/501Awani/status/1502521312710852611,False,,0,,,,,,,,[],,,,
